segment_id,evaluation_start_time,evaluation_end_time
5G21A6P09L4100103:1728407846:1728407866,1728407851,1728407865
5G21A6P09L4100103:1728409004:1728409024,1728409009,1728409023
5G21A6P09L4100103:1728409369:1728409389,1728409374,1728409388
5G21A6P09L4100103:1728409597:1728409617,1728409602,1728409616
5G21A6P09L4100103:1728403344:1728403364,1728403349,1728403363
5G21A6P09L4100103:1728401359:1728401379,1728401364,1728401378
5G21A6P09L4100103:1728400848:1728400868,1728400853,1728400867
5G21A6P09L4100103:1728400573:1728400593,1728400578,1728400592
5G21A6P09L4100103:1728403740:1728403760,1728403745,1728403759
5G21A6P09L4100103:1728403947:1728403967,1728403952,1728403966
5G21A6P09L4100103:1728404615:1728404635,1728404620,1728404634
5G21A6P09L4100103:1728404785:1728404805,1728404790,1728404804
5G21A6P09L4100103:1728405592:1728405612,1728405597,1728405611
5G21A6P09L4100103:1728405919:1728405939,1728405924,1728405938
5G21A6P09L4100103:1728406074:1728406094,1728406079,1728406093
5G21A6P09L4100103:1728406195:1728406215,1728406200,1728406214
