segment_id,evaluation_start_time,evaluation_end_time
5G21A6P09L4100103:1728410592:1728410612,1728410597,1728410611
5G21A6P09L4100103:1728413068:1728413088,1728413073,1728413087
5G21A6P09L4100103:1728413318:1728413338,1728413323,1728413337
5G21A6P09L4100103:1728413520:1728413540,1728413525,1728413539
5G21A6P09L4100103:1728413873:1728413893,1728413878,1728413892
5G21A6P09L4100103:1728414026:1728414046,1728414031,1728414045
5G21A6P09L4100103:1728414141:1728414161,1728414146,1728414160
5G21A6P09L4100103:1728414291:1728414311,1728414296,1728414310
5G21A6P09L4100103:1728416788:1728416808,1728416793,1728416807
5G21A6P09L4100103:1728416895:1728416915,1728416900,1728416914
5G21A6P09L4100103:1728417008:1728417028,1728417013,1728417027
5G21A6P09L4100103:1728417178:1728417198,1728417183,1728417197
5G21A6P09L4100103:1728417513:1728417533,1728417518,1728417532
5G21A6P09L4100103:1728417695:1728417715,1728417700,1728417714
5G21A6P09L4100103:1728417866:1728417886,1728417871,1728417885
5G21A6P09L4100103:1728418091:1728418111,1728418096,1728418110
