Scenario URI,Bag,Hydra Exit Code,error,Machine Atrophy Status,Machine Atrophy Score,braking_discomfort_severity,comfort_inverse_rdi_proxy,sim_safety_proxy_likelihood_score,sim_safety_proxy_risk_score,steering_discomfort_severity,combined_non_rqe_probability,accumulated_travel,av_odometer_travel,lbv_metrics_max_lbv,roadcraft,av_in_intersection_scene__event_count,av_in_intersection_scene__max_event_duration,av_in_intersection_scene__total_event_duration,av_in_mid_intersection_on_red_scene__event_count,av_in_mid_intersection_on_red_scene__max_event_duration,av_in_mid_intersection_on_red_scene__total_event_duration,av_brake_jab_scene__event_count,av_brake_jab_scene__max_event_duration,av_brake_jab_scene__total_event_duration,av_has_traffic_light_directive_reason_scene__event_count,av_has_traffic_light_directive_reason_scene__max_event_duration,av_has_traffic_light_directive_reason_scene__total_event_duration,av_in_traffic_light_accept_region_duration,av_in_traffic_light_assert_region_duration,av_in_traffic_light_yield_region_duration,ya_red_light_duration,tl_metrics_running_red_light_catchall,tl_metrics_running_red_light,red_light_scene__total_event_duration,red_light_scene__max_event_duration,red_light_scene__event_count,red_light_jerk_metrics_n_ticks_with_jerk_event,red_light_jerk_metrics_min_jerk,red_light_jerk_metrics_min_accel,red_light_jerk_metrics_min_abs_jerk,red_light_jerk_metrics_min_abs_accel,red_light_jerk_metrics_max_jerk,red_light_jerk_metrics_max_accel,red_light_jerk_metrics_max_abs_jerk,red_light_jerk_metrics_max_abs_accel,red_light_jerk_metrics_has_jerk_event,red_light_incursion_severity,red_light_incursion,red_light_hammer_scoring_error_rate_selected_intent,red_light_hammer_scoring_error_rate_all_intents,red_light_creeping_metrics_max_creep_velocity,red_light_creeping_metrics_has_creep_event,red_light_creeping_metrics_creep_velocity_threshold,red_light_creeping_metrics_creep_duration_secs,red_light_creeping_metrics_creep_counts,ranker_selected_rate_red_light_hammer_selected_intent,ranker_selected_rate_red_light_hammer_all_intents,is_strictly_red_light_running
replay://ros/src/perception_scenarios/metrics/feature_testing/unf/perception_rhino/unf_assertions/FM.1.b.i.2_2024-10-08/5G21A6P09L4100103_1728401359_1728401379.yaml,https://webviz.robot.car/?seek-by=5000&hydra-run-id=437fd3c2-60d5-5d2b-a815-d2f77b04269f%3A0,163:ERR_METRICS_ASSERTION_FAILED,Assertions failed,Atrophied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
replay://ros/src/perception_scenarios/metrics/feature_testing/unf/perception_rhino/unf_assertions/FM.1.b.i.2_2024-10-08/5G21A6P09L4100103_1728405919_1728405939.yaml,https://webviz.robot.car/?seek-by=5000&hydra-run-id=437fd3c2-60d5-5d2b-a815-d2f77b04269f%3A1,163:ERR_METRICS_ASSERTION_FAILED,Assertions failed,Atrophied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
replay://ros/src/perception_scenarios/metrics/feature_testing/unf/perception_rhino/unf_assertions/FM.1.b.i.2_2024-10-08/5G21A6P09L4100103_1728400573_1728400593.yaml,https://webviz.robot.car/?seek-by=5000&hydra-run-id=437fd3c2-60d5-5d2b-a815-d2f77b04269f%3A2,163:ERR_METRICS_ASSERTION_FAILED,Assertions failed,Atrophied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
replay://ros/src/perception_scenarios/metrics/feature_testing/unf/perception_rhino/unf_assertions/FM.1.b.i.2_2024-10-08/5G21A6P09L4100103_1728409597_1728409617.yaml,https://webviz.robot.car/?seek-by=5000&hydra-run-id=437fd3c2-60d5-5d2b-a815-d2f77b04269f%3A3,163:ERR_METRICS_ASSERTION_FAILED,Assertions failed,Atrophied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
replay://ros/src/perception_scenarios/metrics/feature_testing/unf/perception_rhino/unf_assertions/FM.1.b.i.2_2024-10-08/5G21A6P09L4100103_1728403344_1728403364.yaml,https://webviz.robot.car/?seek-by=5000&hydra-run-id=437fd3c2-60d5-5d2b-a815-d2f77b04269f%3A4,0:SUCCESS,,Atrophied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
replay://ros/src/perception_scenarios/metrics/feature_testing/unf/perception_rhino/unf_assertions/FM.1.b.i.2_2024-10-08/5G21A6P09L4100103_1728407846_1728407866.yaml,https://webviz.robot.car/?seek-by=5000&hydra-run-id=437fd3c2-60d5-5d2b-a815-d2f77b04269f%3A5,0:SUCCESS,,Atrophied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
replay://ros/src/perception_scenarios/metrics/feature_testing/unf/perception_rhino/unf_assertions/FM.1.b.i.2_2024-10-08/5G21A6P09L4100103_1728404785_1728404805.yaml,https://webviz.robot.car/?seek-by=5000&hydra-run-id=437fd3c2-60d5-5d2b-a815-d2f77b04269f%3A6,0:SUCCESS,,Atrophied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
replay://ros/src/perception_scenarios/metrics/feature_testing/unf/perception_rhino/unf_assertions/FM.1.b.i.2_2024-10-08/5G21A6P09L4100103_1728406074_1728406094.yaml,https://webviz.robot.car/?seek-by=5000&hydra-run-id=437fd3c2-60d5-5d2b-a815-d2f77b04269f%3A7,163:ERR_METRICS_ASSERTION_FAILED,Assertions failed,Atrophied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
replay://ros/src/perception_scenarios/metrics/feature_testing/unf/perception_rhino/unf_assertions/FM.1.b.i.2_2024-10-08/5G21A6P09L4100103_1728409369_1728409389.yaml,https://webviz.robot.car/?seek-by=5000&hydra-run-id=437fd3c2-60d5-5d2b-a815-d2f77b04269f%3A8,163:ERR_METRICS_ASSERTION_FAILED,Assertions failed,Atrophied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
replay://ros/src/perception_scenarios/metrics/feature_testing/unf/perception_rhino/unf_assertions/FM.1.b.i.2_2024-10-08/5G21A6P09L4100103_1728400848_1728400868.yaml,https://webviz.robot.car/?seek-by=5000&hydra-run-id=437fd3c2-60d5-5d2b-a815-d2f77b04269f%3A9,163:ERR_METRICS_ASSERTION_FAILED,Assertions failed,Atrophied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
replay://ros/src/perception_scenarios/metrics/feature_testing/unf/perception_rhino/unf_assertions/FM.1.b.i.2_2024-10-08/5G21A6P09L4100103_1728404615_1728404635.yaml,https://webviz.robot.car/?seek-by=5000&hydra-run-id=437fd3c2-60d5-5d2b-a815-d2f77b04269f%3A10,163:ERR_METRICS_ASSERTION_FAILED,Assertions failed,Atrophied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
replay://ros/src/perception_scenarios/metrics/feature_testing/unf/perception_rhino/unf_assertions/FM.1.b.i.2_2024-10-08/5G21A6P09L4100103_1728403740_1728403760.yaml,https://webviz.robot.car/?seek-by=5000&hydra-run-id=437fd3c2-60d5-5d2b-a815-d2f77b04269f%3A11,163:ERR_METRICS_ASSERTION_FAILED,Assertions failed,Atrophied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
replay://ros/src/perception_scenarios/metrics/feature_testing/unf/perception_rhino/unf_assertions/FM.1.b.i.2_2024-10-08/5G21A6P09L4100103_1728406195_1728406215.yaml,https://webviz.robot.car/?seek-by=5000&hydra-run-id=437fd3c2-60d5-5d2b-a815-d2f77b04269f%3A12,163:ERR_METRICS_ASSERTION_FAILED,Assertions failed,Atrophied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
replay://ros/src/perception_scenarios/metrics/feature_testing/unf/perception_rhino/unf_assertions/FM.1.b.i.2_2024-10-08/5G21A6P09L4100103_1728409004_1728409024.yaml,https://webviz.robot.car/?seek-by=5000&hydra-run-id=437fd3c2-60d5-5d2b-a815-d2f77b04269f%3A13,0:SUCCESS,,Atrophied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
replay://ros/src/perception_scenarios/metrics/feature_testing/unf/perception_rhino/unf_assertions/FM.1.b.i.2_2024-10-08/5G21A6P09L4100103_1728405592_1728405612.yaml,https://webviz.robot.car/?seek-by=5000&hydra-run-id=437fd3c2-60d5-5d2b-a815-d2f77b04269f%3A14,163:ERR_METRICS_ASSERTION_FAILED,Assertions failed,Atrophied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
replay://ros/src/perception_scenarios/metrics/feature_testing/unf/perception_rhino/unf_assertions/FM.1.b.i.2_2024-10-08/5G21A6P09L4100103_1728403947_1728403967.yaml,https://webviz.robot.car/?seek-by=5000&hydra-run-id=437fd3c2-60d5-5d2b-a815-d2f77b04269f%3A15,163:ERR_METRICS_ASSERTION_FAILED,Assertions failed,Atrophied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
